Position,"Track Name",Artist,Streams,URL
1,"Can't Feel My Face","The Weeknd",5674322,https://open.spotify.com/track/6FXNfYIY6iEeCKuIeSYWgg
2,"The Hills","The Weeknd",4838650,https://open.spotify.com/track/2HNcNd5RPZ7DSRNbIl6JsP
3,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,4757255,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn
4,"Lean On (feat. MØ & DJ Snake)","Major Lazer",4026312,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
5,"Trap Queen","Fetty Wap",3973644,https://open.spotify.com/track/3twQx3psUMJKj4wna5d1zU
6,"Where Are Ü Now (with Justin Bieber)","Jack Ü",3557481,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
7,"679 (feat. Remy Boyz)","Fetty Wap",3300326,https://open.spotify.com/track/5NQbUaeTEOGdD6hHcre0dZ
8,"Good For You","Selena Gomez",3185062,https://open.spotify.com/track/2LcB304HDrCx8WVDEQn7CK
9,"See You Again (feat. Charlie Puth)","Wiz Khalifa",3134928,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
10,"You Know You Like It","DJ Snake",2809177,https://open.spotify.com/track/57kR5SniQIbsbVoIjjOUDa
11,"Watch Me (Whip / Nae Nae)",Silentó,2808191,https://open.spotify.com/track/5RIVoVdkDLEygELLCniZFr
12,"Want to Want Me","Jason Derulo",2756538,https://open.spotify.com/track/7oGZAicScQt96OAW4AruYy
13,"Shut Up and Dance","WALK THE MOON",2612575,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
14,"R.I.C.O. (feat. Drake)","Meek Mill",2574785,https://open.spotify.com/track/0Y0TOsE1q11qgbi7c5WZsG
15,"All Eyes On You (feat. Chris Brown & Nicki Minaj)","Meek Mill",2426001,https://open.spotify.com/track/0hy1SOTEn9ifXTzOwnCwEr
16,"Worth It","Fifth Harmony",2378732,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO
17,"Flex (Ooh, Ooh, Ooh)","Rich Homie Quan",2376807,https://open.spotify.com/track/2LLFl56eIFGFlnrplUC26f
18,"Talking Body","Tove Lo",2314493,https://open.spotify.com/track/2tpfxAXiI52znho4WE3XFA
19,"Bitch Better Have My Money",Rihanna,2257058,https://open.spotify.com/track/5lnsCyEKWofnC00U4Ax0ti
20,"Slow Motion","Trey Songz",2246534,https://open.spotify.com/track/4NYwy0R3NdvORX2B6OZXBT
21,"Fight Song","Rachel Platten",2244920,https://open.spotify.com/track/6bRbeEgg8v8BQ0HuVuPE7v
22,Photograph,"Ed Sheeran",2177299,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
