Position,"Track Name",Artist,Streams,URL
1,"Lean On (feat. MØ & DJ Snake)","Major Lazer",17859499,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
2,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,13925520,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn
3,"Can't Feel My Face","The Weeknd",13285407,https://open.spotify.com/track/6FXNfYIY6iEeCKuIeSYWgg
4,"See You Again (feat. Charlie Puth)","Wiz Khalifa",12102397,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
5,"Want to Want Me","Jason Derulo",11547398,https://open.spotify.com/track/7oGZAicScQt96OAW4AruYy
6,"Where Are Ü Now (with Justin Bieber)","Jack Ü",11246651,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
7,"Waiting For Love",Avicii,10901125,https://open.spotify.com/track/5eCgNATwXgRc4mZx9NymGJ
8,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta",9937374,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
9,"Trap Queen","Fetty Wap",9583980,https://open.spotify.com/track/3twQx3psUMJKj4wna5d1zU
10,"Are You With Me - Radio Edit","Lost Frequencies",8872143,https://open.spotify.com/track/477daPpd3DnneaHhvjM35l
11,"Stole the Show",Kygo,8871369,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
12,"Worth It","Fifth Harmony",8814244,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO
13,"The Hills","The Weeknd",8387402,https://open.spotify.com/track/2HNcNd5RPZ7DSRNbIl6JsP
14,"Good For You","Selena Gomez",8209851,https://open.spotify.com/track/2LcB304HDrCx8WVDEQn7CK
15,"Shut Up and Dance","WALK THE MOON",8052438,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
16,"Ain't Nobody (Loves Me Better)","Felix Jaehn",7764622,https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB
17,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)","Flo Rida",7628771,https://open.spotify.com/track/2S5LNtRVRPbXk01yRQ14sZ
18,"Thinking Out Loud","Ed Sheeran",7466738,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
19,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",7244552,https://open.spotify.com/track/7y2YUIyCuVhBidENVT0068
20,"Uptown Funk","Mark Ronson",7185572,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
21,Sugar,"Maroon 5",7090080,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I
22,Photograph,"Ed Sheeran",6995225,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
23,"You Know You Like It","DJ Snake",6836661,https://open.spotify.com/track/57kR5SniQIbsbVoIjjOUDa
24,"I Really Like You","Carly Rae Jepsen",6617845,https://open.spotify.com/track/6YhDHby2eVeENKJNa7C2z6
25,"El Perdón","Nicky Jam",6416051,https://open.spotify.com/track/4Ld3RS6KBXGsvtfmnjxlVl
26,"Headlights (feat. Ilsey)","Robin Schulz",6238141,https://open.spotify.com/track/06Hdbxh6NCy6TIhjdXTchB
27,Firestone,Kygo,6232970,https://open.spotify.com/track/2sNvitW3TxiTeC9xT9f2ZZ
28,"Five More Hours - Deorro x Chris Brown",Deorro,6217299,https://open.spotify.com/track/6YwLgicpvVuMt1eE2OldwQ
29,"Watch Me (Whip / Nae Nae)",Silentó,5949605,https://open.spotify.com/track/5RIVoVdkDLEygELLCniZFr
30,"GDFR (feat. Sage The Gemini & Lookas)","Flo Rida",5817666,https://open.spotify.com/track/26rdOwwjC2UnweK3xeS58u
31,King,"Years & Years",5632300,https://open.spotify.com/track/1INaLrURFofoNZhnGa00Nz
32,"Take Me To Church",Hozier,5601911,https://open.spotify.com/track/7dS5EaCoMnN7DzlpT6aRn2
33,"Bitch Better Have My Money",Rihanna,5453371,https://open.spotify.com/track/5lnsCyEKWofnC00U4Ax0ti
34,"Talking Body","Tove Lo",5447152,https://open.spotify.com/track/2tpfxAXiI52znho4WE3XFA
35,"Time of Our Lives",Pitbull,5424257,https://open.spotify.com/track/2bJvI42r8EF3wxjOuDav4r
36,Fun,Pitbull,5287662,https://open.spotify.com/track/6Zo3wgDE076K2AuiGZF3CS
37,FourFiveSeconds,Rihanna,5286197,https://open.spotify.com/track/5XzmZjXhMjDHr7ZfJ6DELQ
38,"This Summer","Maroon 5",5277810,https://open.spotify.com/track/5uVji14OWpj9HMKLXdhjAv
39,"Sun Is Shining","Axwell /\ Ingrosso",5084776,https://open.spotify.com/track/1Gzv0cMy3xm7sgN5gd7WkU
40,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack","The Weeknd",4999796,https://open.spotify.com/track/4WGyY671Z37inSpCTBJoIm
41,"Elastic Heart",Sia,4809792,https://open.spotify.com/track/6kwAbEjseqBob48jCus7Sz
42,"Runaway (U & I)",Galantis,4752381,https://open.spotify.com/track/46lFttIf5hnUZMGvjK0Wxo
43,"One Last Time","Ariana Grande",4618752,https://open.spotify.com/track/2OlWBmSjf1aUPGLNf0UI5A
44,Somebody,"Natalie La Rose",4608507,https://open.spotify.com/track/0pn6qyOJYNwP9nhGg3L7dV
45,"Don't Look Down","Martin Garrix",4528018,https://open.spotify.com/track/5M9jOReAKGZ2AttVefFjTY
46,"679 (feat. Remy Boyz)","Fetty Wap",4287784,https://open.spotify.com/track/5NQbUaeTEOGdD6hHcre0dZ
47,"Flashlight - From ""Pitch Perfect 2"" Soundtrack","Jessie J",4190293,https://open.spotify.com/track/6qC8Jj1XOxknPm8N7EbzKX
48,"Prayer in C - Robin Schulz Radio Edit","Lilly Wood and The Prick",4164655,https://open.spotify.com/track/0uVyZywUNOp6S0dU5r8TS8
49,"Nasty Freestyle",T-Wayne,4143989,https://open.spotify.com/track/0PT7nlpo11hYYyfnBgtilT
50,"Hold My Hand","Jess Glynne",4139454,https://open.spotify.com/track/1i1rNVtxbE7rdFfpHuNq2j
51,"Hold Back The River","James Bay",4028246,https://open.spotify.com/track/1KZyVnyptQcPzkx7ELCnZC
52,"Shots & Squats",Vigiland,4016620,https://open.spotify.com/track/3FS2e59gXFXrcg7sN2mL5z
53,"Cool for the Summer","Demi Lovato",3833520,https://open.spotify.com/track/1KK0j3djUgx5tuOMwesdAT
54,"All Eyes On You (feat. Chris Brown & Nicki Minaj)","Meek Mill",3675661,https://open.spotify.com/track/0hy1SOTEn9ifXTzOwnCwEr
55,"Fight Song","Rachel Platten",3581848,https://open.spotify.com/track/6bRbeEgg8v8BQ0HuVuPE7v
56,"Stay With Me","Sam Smith",3461945,https://open.spotify.com/track/7IHOIqZUUInxjVkko181PB
57,"Slow Motion","Trey Songz",3435288,https://open.spotify.com/track/4NYwy0R3NdvORX2B6OZXBT
58,"The Night Is Still Young","Nicki Minaj",3395783,https://open.spotify.com/track/4bBrKDo8rchikwZOtmXbIH
59,"Ghost Town","Adam Lambert",3346633,https://open.spotify.com/track/44aN5xKL3kGHvQ5bXVk6B8
60,"R.I.C.O. (feat. Drake)","Meek Mill",3271850,https://open.spotify.com/track/0Y0TOsE1q11qgbi7c5WZsG
61,"Don't Worry (with Ray Dalton) - Radio Edit",Madcon,3072915,https://open.spotify.com/track/63CSozvYUEudPp12679UVF
62,Chandelier,Sia,3067595,https://open.spotify.com/track/4VrWlk8IQxevMvERoX08iC
63,"Honey, I'm Good.","Andy Grammer",3046071,https://open.spotify.com/track/4orphgwPHHRsdEkfUmANSD
64,"Not Letting Go (feat. Jess Glynne)","Tinie Tempah",3033416,https://open.spotify.com/track/01wuIn1TP5FCvYyqBTdsGC
65,"Flex (Ooh, Ooh, Ooh)","Rich Homie Quan",2998306,https://open.spotify.com/track/2LLFl56eIFGFlnrplUC26f
66,Outside,"Calvin Harris",2975356,https://open.spotify.com/track/7MmG8p0F9N3C4AXdK6o6Eb
67,"I Want You To Know",Zedd,2932463,https://open.spotify.com/track/19RevBdb9MKUaBIvxSbGd4
68,"Bailando - Spanish Version","Enrique Iglesias",2931133,https://open.spotify.com/track/32lm3769IRfcnrQV11LO4E
69,"Post To Be (feat. Chris Brown & Jhene Aiko)",Omarion,2924486,https://open.spotify.com/track/0fgZUSa7D7aVvv3GfO0A1n
70,"Bang Bang","Jessie J",2902819,https://open.spotify.com/track/3SaIsrEzrQGDcG1jCeaK8q
71,"Marvin Gaye (feat. Meghan Trainor)","Charlie Puth",2838591,https://open.spotify.com/track/6ukMqDxnOPOgoHdak7Kyp3
72,"Peanut Butter Jelly",Galantis,2825250,https://open.spotify.com/track/3aIhJDHxr1kgTSnutJxPTH
73,"The Nights",Avicii,2820344,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
74,Bills,"LunchMoney Lewis",2805588,https://open.spotify.com/track/7rlCeTnjn0plPZkVAcctPZ
75,Riptide,"Vance Joy",2687199,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
76,Shine,"Years & Years",2651050,https://open.spotify.com/track/3ISw0ZbIocgoNoxu7cpTUl
77,"I'm Not The Only One","Sam Smith",2624783,https://open.spotify.com/track/1VbhR6D6zUoSTBzvnRonXO
78,Ayo,"Chris Brown",2578067,https://open.spotify.com/track/0k6DnZMLoEUH8NGD5zh2SE
79,"Black Magic","Little Mix",2570588,https://open.spotify.com/track/33NHr7lu7tCMjK05jUj1v0
80,Blame,"Calvin Harris",2545279,https://open.spotify.com/track/07nH4ifBxUB4lZcsf44Brn
81,"Heroes (we could be)",Alesso,2538232,https://open.spotify.com/track/6WQLkih8nE0JdUCEyLaGnQ
82,"All of Me","John Legend",2521043,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
83,"Intoxicated - Radio Edit","Martin Solveig",2507948,https://open.spotify.com/track/49aLCvvEKM5EA8IYwDmtaE
84,Heroes,"Måns Zelmerlöw",2505637,https://open.spotify.com/track/21BYhl07wWqGRQaj7sUxdV
85,"Rather Be (feat. Jess Glynne)","Clean Bandit",2494857,https://open.spotify.com/track/0TVV2gFROJaB3kIZyCUvIY
86,Poison,"Rita Ora",2485579,https://open.spotify.com/track/73ucpKq91TuejrLHgzDNHK
87,Stitches,"Shawn Mendes",2475936,https://open.spotify.com/track/3zkWCteF82vJwv0hRLba76
88,Bright,Echosmith,2432944,https://open.spotify.com/track/3WKg25vrbjJlkhsgl2W4p3
89,"Let Her Go",Passenger,2388530,https://open.spotify.com/track/7DFNE7NO0raLIUbgzY2rzm
90,"Try Me (feat. Jennifer Lopez & Matoma)","Jason Derulo",2374955,https://open.spotify.com/track/4tg1G3X26wDTmQbipgxhp5
91,Rude,MAGIC!,2335021,https://open.spotify.com/track/6RtPijgfPKROxEzTHNRiDp
92,Budapest,"George Ezra",2316675,https://open.spotify.com/track/7GJClzimvMSghjcrKxuf1M
93,"Secrets - Radio Edit",Tiësto,2300052,https://open.spotify.com/track/6eE5LWw0DpIbTOdKwDUoE8
94,"Old Thing Back (feat. Ja Rule and Ralph Tresvant)",Matoma,2298547,https://open.spotify.com/track/6HTJZ0TQJVMSKkUGzAOe2h
95,"Happy - From ""Despicable Me 2""","Pharrell Williams",2282250,https://open.spotify.com/track/5b88tNINg4Q4nrRbrCXUmg
96,"Lush Life","Zara Larsson",2271863,https://open.spotify.com/track/0VzzzYWjBWofMsSB77pDo4
97,"Know Yourself",Drake,2261051,https://open.spotify.com/track/5InOp6q2vvx0fShv3bzFLZ
98,"Let It Go","James Bay",2241929,https://open.spotify.com/track/40EB7ABUO6MoWMUwPKptJ7
99,Maps,"Maroon 5",2195488,https://open.spotify.com/track/71ywEs45ClmTNRiaJ7YEsr
100,Summer,"Calvin Harris",2183476,https://open.spotify.com/track/6YUTL4dYpB9xZO5qExPf05
101,"I See Fire","Ed Sheeran",2168580,https://open.spotify.com/track/5pY3ovFxbvAg7reGZjJQSp
102,Freedom,"Pharrell Williams",2150538,https://open.spotify.com/track/6RB9YvNyP0RZfCUcMtZELH
103,Animals,"Maroon 5",2128530,https://open.spotify.com/track/7uolkTLavH97itenLjNmx9
104,"Goodbye (feat. Lyse) - Radio Edit",Feder,2064845,https://open.spotify.com/track/3PnOOmkxruDDAiMYZZTgO7
105,"Dear Future Husband","Meghan Trainor",2050480,https://open.spotify.com/track/3cU2wBxuV6nFiuf6PJZNlC
106,"Counting Stars",OneRepublic,2001969,https://open.spotify.com/track/1QzFhzIOW7CyRJLpmq5CM0
107,"La Gozadera","Gente De Zona",1973444,https://open.spotify.com/track/3ip2477VESffCtFkPFT0ov
108,Energy,Drake,1970187,https://open.spotify.com/track/79XrkTOfV1AqySNjVlygpW
109,Radioactive,"Imagine Dragons",1969949,https://open.spotify.com/track/6Ep6BzIOB9tz3P4sWqiiAB
110,Emergency,"Icona Pop",1950820,https://open.spotify.com/track/6sKAs2tdtTVTO2U0IgJAur
111,"Reality - Radio Edit","Lost Frequencies",1947875,https://open.spotify.com/track/3GeeyHU1Q6xjyeXjRAjBoo
112,"Someone New",Hozier,1914664,https://open.spotify.com/track/2CyE2IRLBN1lWdrELMqgwx
113,"All About That Bass","Meghan Trainor",1889938,https://open.spotify.com/track/5jE48hhRu8E6zBDPRSkEq7
114,Everyday,"A$AP Rocky",1886373,https://open.spotify.com/track/2N3U8uTYhjX2KwGT0pf5x0
115,"Next To Me","Otto Knows",1874837,https://open.spotify.com/track/6ZixfeFT8V0Nle1rMZAekY
116,"Jealous - Remix","Nick Jonas",1859356,https://open.spotify.com/track/6erZDIGMbZG8lCllaxzZ19
117,"Love Me Harder","Ariana Grande",1846719,https://open.spotify.com/track/1aKsg5b9sOngINaQXbB0P7
118,Centuries,"Fall Out Boy",1841231,https://open.spotify.com/track/0yhPEz5KxlDwckGJaMlZqM
119,"Like I Can","Sam Smith",1823646,https://open.spotify.com/track/2DnBQKrh8aodN4dBSdXAUh
