Position,"Track Name",Artist,Streams,URL
1,HUMBLE.,"Kendrick Lamar",15538386,https://open.spotify.com/track/31c9IHwCIONmUYW0jL7Riz
2,"Mask Off",Future,11269676,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
3,Passionfruit,Drake,10500365,https://open.spotify.com/track/5mCPDVBb16L4XQwDdbRUpz
4,"Shape of You","Ed Sheeran",9125748,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
5,"XO TOUR Llif3","Lil Uzi Vert",8316817,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
6,"iSpy (feat. Lil Yachty)",Kyle,8212984,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
7,"That's What I Like","Bruno Mars",8182636,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
8,Portland,Drake,8086852,https://open.spotify.com/track/2bjwRfXMk4uRgOD9IBYl9h
9,"Tunnel Vision","Kodak Black",7723195,https://open.spotify.com/track/4Q3N4Ct4zCuIHuZ65E3BD4
10,Location,Khalid,6480675,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
11,Congratulations,"Post Malone",6452917,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
12,"Stay (with Alessia Cara)",Zedd,6303263,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
13,"It Ain't Me (with Selena Gomez)",Kygo,6189488,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
14,"Something Just Like This","The Chainsmokers",5939278,https://open.spotify.com/track/1dNIEtp7AY3oDAKCGg2XkH
15,Gyalchester,Drake,5624538,https://open.spotify.com/track/6UjfByV1lDLW0SOVQA4NAi
16,Slide,"Calvin Harris",5614894,https://open.spotify.com/track/6gpcs5eMhJwax4mIfKDYQk
17,Issues,"Julia Michaels",5320356,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
18,"Bounce Back","Big Sean",5234715,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
19,"Fake Love",Drake,5147385,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
20,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,5124572,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
21,T-Shirt,Migos,5010430,https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7
22,Paris,"The Chainsmokers",4749591,https://open.spotify.com/track/15vzANxN8G9wWfwAJLLMCg
23,Blem,Drake,4708435,https://open.spotify.com/track/2XlHu0HcujBCkWMdIAvrqt
24,Swang,"Rae Sremmurd",4579410,https://open.spotify.com/track/6mapJIPnQ23RTAevUoE0DL
25,Selfish,Future,4562948,https://open.spotify.com/track/2Ce5IyMlVRVvN997ZJjJJA
26,Everybody,Logic,4523785,https://open.spotify.com/track/51sVgPeBHYwbeM1cWegVqR
27,"Look At Me!",Xxxtentacion,4518486,https://open.spotify.com/track/7floNISpH8VF4z4459Qo18
28,"Body Like A Back Road","Sam Hunt",4500796,https://open.spotify.com/track/7mldq42yDuxiUNn08nvzHO
29,"Free Smoke",Drake,4254160,https://open.spotify.com/track/05KOgYg8PGeJyyWBPi5ja8
30,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3905796,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
31,"Galway Girl","Ed Sheeran",3905792,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
32,goosebumps,"Travis Scott",3805812,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
33,"The Heart Part 4","Kendrick Lamar",3784046,https://open.spotify.com/track/41eiwHEX8iegmqmS2cf7oX
34,"Teenage Fever",Drake,3763121,https://open.spotify.com/track/6n3HGiq4v35D6eFOSwqYuo
35,Believer,"Imagine Dragons",3685826,https://open.spotify.com/track/6VRghJeP6I0w1KxkdWFfIh
36,Cold,"Maroon 5",3495728,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
