Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",44867852,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,Passionfruit,Drake,28420893,https://open.spotify.com/track/5mCPDVBb16L4XQwDdbRUpz
3,"It Ain't Me (with Selena Gomez)",Kygo,28022909,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
4,"Something Just Like This","The Chainsmokers",26882654,https://open.spotify.com/track/1dNIEtp7AY3oDAKCGg2XkH
5,HUMBLE.,"Kendrick Lamar",26094489,https://open.spotify.com/track/31c9IHwCIONmUYW0jL7Riz
6,"That's What I Like","Bruno Mars",23415036,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
7,"Mask Off",Future,23173012,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
8,"Stay (with Alessia Cara)",Zedd,23118329,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
9,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",21878464,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
10,"Galway Girl","Ed Sheeran",21761639,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
11,Symphony,"Clean Bandit",19678649,https://open.spotify.com/track/4SPLWgCPoKwULz2UTM8TKg
12,Paris,"The Chainsmokers",18918207,https://open.spotify.com/track/15vzANxN8G9wWfwAJLLMCg
13,Slide,"Calvin Harris",18367402,https://open.spotify.com/track/6gpcs5eMhJwax4mIfKDYQk
14,"Scared to Be Lonely","Martin Garrix",17852979,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
15,Issues,"Julia Michaels",17283946,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
16,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,16909205,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
17,"You Don't Know Me","Jax Jones",15002138,https://open.spotify.com/track/2SZy40PLDk3vFucXUGFCFA
18,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",14632037,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
