Position,"Track Name",Artist,Streams,URL
1,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,11466629,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
2,"Shape of You","Ed Sheeran",10235182,https://open.spotify.com/track/0FE9t6xYkqWXU2ahLh6D8X
3,"Fake Love",Drake,7502858,https://open.spotify.com/track/6NMNgWgEAzde5M8U3lc6FN
4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,7474004,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
5,Paris,"The Chainsmokers",7292977,https://open.spotify.com/track/15vzANxN8G9wWfwAJLLMCg
6,T-Shirt,Migos,6794724,https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7
7,"Bounce Back","Big Sean",6114021,https://open.spotify.com/track/206uaQyzb8kOiZ7rHw9wCn
8,Starboy,"The Weeknd",5800250,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
9,iSpy,Kyle,5784868,https://open.spotify.com/track/0WjYgf4qH3B0v0HmW61doL
10,Caroline,Aminé,5119381,https://open.spotify.com/track/5GFDrUTLGJix84sNhjCG0g
11,"Bad Things - With Camila Cabello","Machine Gun Kelly",4993744,https://open.spotify.com/track/56cswAa9WdFBsjsTyPBAKA
12,"I Feel It Coming","The Weeknd",4918105,https://open.spotify.com/track/4RepvCWqsP6zBuzvwYibAS
13,Closer,"The Chainsmokers",4778481,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
14,"Black Beatles","Rae Sremmurd",4591516,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
15,"Say You Won't Let Go","James Arthur",4379639,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
16,"Castle on the Hill","Ed Sheeran",4111488,https://open.spotify.com/track/66qlqxhEMpSHOzjRK4il0b
17,"X (feat. Future)","21 Savage",3825749,https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO
18,"Broccoli (feat. Lil Yachty)",D.R.A.M.,3818305,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol
19,"All Time Low","Jon Bellion",3813674,https://open.spotify.com/track/0SuLAslEMFZAXf0SwY7syi
20,"Don't Wanna Know","Maroon 5",3597632,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
21,"Kelly Price (feat. Travis Scott)",Migos,3448854,https://open.spotify.com/track/204U3zjm9kkzX25Pr4Rdld
22,"How Far I'll Go - From ""Moana""","Alessia Cara",3429547,https://open.spotify.com/track/5EbX5xL3O2xT8FxCpYzgUO
23,"No Heart","21 Savage",3420165,https://open.spotify.com/track/4gmmRb6bZJffOOiww1JGTO
24,"Call On Me - Ryan Riback Extended Remix",Starley,3384202,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
25,Issues,"Julia Michaels",3355694,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
26,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",3340125,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
27,"Deja Vu","J. Cole",3338156,https://open.spotify.com/track/6I6NX6tjGsxFAsIfGzY9lJ
28,"Scared to Be Lonely","Martin Garrix",3325243,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
29,"Call Casting",Migos,3283724,https://open.spotify.com/track/0jOfl1nZf6sVBTG08Q4brn
30,"Slippery (feat. Gucci Mane)",Migos,3269588,https://open.spotify.com/track/6p8NuHm8uCGnn2Dtbtf7zE
31,Swang,"Rae Sremmurd",3211170,https://open.spotify.com/track/6mapJIPnQ23RTAevUoE0DL
32,Weak,AJR,3207640,https://open.spotify.com/track/6OuV4vfyb8v3vGGGksqyKf
33,"Get Right Witcha",Migos,3175599,https://open.spotify.com/track/76Y0gxtTxN0FyDCYh5qYQj
34,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",3142261,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
35,"24K Magic","Bruno Mars",3118327,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
36,"Party Monster","The Weeknd",3039648,https://open.spotify.com/track/4F7A0DXBrmUAkp32uenhZt
37,Redbone,"Childish Gambino",2996679,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y
38,"Chill Bill","Rob $tone",2995606,https://open.spotify.com/track/5uDASfU19gDxSjW8cnCaBp
39,Congratulations,"Post Malone",2983044,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
40,"One Dance",Drake,2974044,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
41,"Side To Side","Ariana Grande",2892456,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
42,Sneakin’,Drake,2875690,https://open.spotify.com/track/4ckuS4Nj4FZ7i3Def3Br8W
43,"Some Kind Of Drug",G-Eazy,2820525,https://open.spotify.com/track/1Bqxj0aH5KewYHKUg1IdrF
44,"Both (feat. Drake)","Gucci Mane",2798274,https://open.spotify.com/track/5tFep7dXGd7vEJ668wTPux
45,Starving,"Hailee Steinfeld",2768927,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe
46,"Just Hold On","Steve Aoki",2767485,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
47,"Love Me Now","John Legend",2741895,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89
48,Mercy,"Shawn Mendes",2721244,https://open.spotify.com/track/3OalxlWH0v14kyBcNBMINt
49,"In the Name of Love","Martin Garrix",2693519,https://open.spotify.com/track/23L5CiUhw2jV1OIMwthR3S
50,"You Was Right","Lil Uzi Vert",2621069,https://open.spotify.com/track/2ANLarE8yHVsLWW21nj79M
51,goosebumps,"Travis Scott",2611675,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
52,Moves,"Big Sean",2583323,https://open.spotify.com/track/6Kd4EPrY9A4WBUFy5JaqEc
53,"No Problem (feat. Lil Wayne & 2 Chainz)","Chance The Rapper",2490335,https://open.spotify.com/track/0v9Wz8o0BT8DU38R4ddjeH
54,"Let Me Love You","DJ Snake",2485451,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
55,"All Night","The Vamps",2437036,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW
56,Heathens,"Twenty One Pilots",2395870,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
57,Selfish,"PnB Rock",2310129,https://open.spotify.com/track/4HUIsMWVGNHsxlhbc3YQ5y
58,"pick up the phone","Young Thug",2278524,https://open.spotify.com/track/20dP2DaMHIAmwWAbp7peSr
59,"Make Me (Cry)","Noah Cyrus",2254261,https://open.spotify.com/track/2BrzlUj1u1CtvaJDGIKpsP
60,"Six Feet Under","The Weeknd",2253478,https://open.spotify.com/track/4mU5iXHeLgbR94siF7p1sY
61,"Don't Leave",Snakehips,2247528,https://open.spotify.com/track/0Zx8khUcEfCFK2AEoIhC92
62,Chantaje,Shakira,2236348,https://open.spotify.com/track/1WniHvhq9zTkny0WvGXX8o
63,"Culture (feat. DJ Khaled)",Migos,2235077,https://open.spotify.com/track/4oLuMvGQ4WJfU2s4OM6nfE
