Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",52711594,https://open.spotify.com/track/0FE9t6xYkqWXU2ahLh6D8X
2,Paris,"The Chainsmokers",28872070,https://open.spotify.com/track/15vzANxN8G9wWfwAJLLMCg
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,26612811,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
4,"Castle on the Hill","Ed Sheeran",24322378,https://open.spotify.com/track/66qlqxhEMpSHOzjRK4il0b
5,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",22683223,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
6,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",22588914,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
7,Starboy,"The Weeknd",20265005,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
8,"Say You Won't Let Go","James Arthur",19135942,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
9,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,18866776,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
10,Closer,"The Chainsmokers",18589663,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
11,"I Feel It Coming","The Weeknd",18019767,https://open.spotify.com/track/4RepvCWqsP6zBuzvwYibAS
12,"Don't Wanna Know","Maroon 5",17164119,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
13,"Call On Me - Ryan Riback Extended Remix",Starley,16668977,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
14,Chantaje,Shakira,16146596,https://open.spotify.com/track/1WniHvhq9zTkny0WvGXX8o
15,"Fake Love",Drake,15119386,https://open.spotify.com/track/6NMNgWgEAzde5M8U3lc6FN
16,"Just Hold On","Steve Aoki",14995378,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
17,"Bad Things - With Camila Cabello","Machine Gun Kelly",14628781,https://open.spotify.com/track/56cswAa9WdFBsjsTyPBAKA
18,"Let Me Love You","DJ Snake",14251684,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
19,"Scared to Be Lonely","Martin Garrix",13941403,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
20,"24K Magic","Bruno Mars",13733214,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
21,"How Far I'll Go - From ""Moana""","Alessia Cara",13138345,https://open.spotify.com/track/5EbX5xL3O2xT8FxCpYzgUO
22,"All Night","The Vamps",12015850,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW
23,"One Dance",Drake,11843451,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
24,"Side To Side","Ariana Grande",11544271,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
25,"Solo Dance","Martin Jensen",11089785,https://open.spotify.com/track/3R6dPfF2yBO8mHySW1XDAa
26,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",11083549,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
27,"Hear Me Now",Alok,11066453,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
28,"Black Beatles","Rae Sremmurd",11060329,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
