Position,"Track Name",Artist,Streams,URL
1,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,9177340,https://open.spotify.com/track/1FvU97lrWOG2NRxErh6OZz
2,"Fake Love",Drake,8393762,https://open.spotify.com/track/6NMNgWgEAzde5M8U3lc6FN
3,Starboy,"The Weeknd",7624754,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
4,Closer,"The Chainsmokers",6377110,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
5,"Black Beatles","Rae Sremmurd",5735281,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
6,Caroline,Aminé,4983989,https://open.spotify.com/track/5GFDrUTLGJix84sNhjCG0g
7,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,4862658,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
8,"Bounce Back","Big Sean",4809822,https://open.spotify.com/track/206uaQyzb8kOiZ7rHw9wCn
9,"Bad Things - With Camila Cabello","Machine Gun Kelly",4796485,https://open.spotify.com/track/56cswAa9WdFBsjsTyPBAKA
10,"I Feel It Coming","The Weeknd",4579279,https://open.spotify.com/track/4RepvCWqsP6zBuzvwYibAS
11,"Broccoli (feat. Lil Yachty)",D.R.A.M.,4552846,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol
12,"Let Me Love You","DJ Snake",4148490,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
13,"One Dance",Drake,4039773,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
14,"24K Magic","Bruno Mars",3822885,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
15,"Don't Wanna Know","Maroon 5",3792846,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
16,"Deja Vu","J. Cole",3772092,https://open.spotify.com/track/6I6NX6tjGsxFAsIfGzY9lJ
17,"X (feat. Future)","21 Savage",3746958,https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO
18,Starving,"Hailee Steinfeld",3461993,https://open.spotify.com/track/6DG2g1UhROp5pnM8fx7zH2
19,"Chill Bill","Rob $tone",3460321,https://open.spotify.com/track/5uDASfU19gDxSjW8cnCaBp
20,"In the Name of Love","Martin Garrix",3428323,https://open.spotify.com/track/23L5CiUhw2jV1OIMwthR3S
21,"Say You Won't Let Go","James Arthur",3354626,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
22,"Party Monster","The Weeknd",3337148,https://open.spotify.com/track/4F7A0DXBrmUAkp32uenhZt
23,"No Heart","21 Savage",3259703,https://open.spotify.com/track/4gmmRb6bZJffOOiww1JGTO
24,"Side To Side","Ariana Grande",3217511,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
25,Sneakin’,Drake,3040666,https://open.spotify.com/track/4ckuS4Nj4FZ7i3Def3Br8W
26,Heathens,"Twenty One Pilots",3016318,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
27,OOOUUU,"Young M.A.",2949159,https://open.spotify.com/track/0D21XvHcVsIvJM6FcGY2BT
28,iSpy,Kyle,2940937,https://open.spotify.com/track/0WjYgf4qH3B0v0HmW61doL
29,"All We Know","The Chainsmokers",2835382,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK
30,"You Was Right","Lil Uzi Vert",2801236,https://open.spotify.com/track/2ANLarE8yHVsLWW21nj79M
31,"No Problem (feat. Lil Wayne & 2 Chainz)","Chance The Rapper",2757913,https://open.spotify.com/track/0v9Wz8o0BT8DU38R4ddjeH
32,"How Far I'll Go - From ""Moana""","Alessia Cara",2742372,https://open.spotify.com/track/5EbX5xL3O2xT8FxCpYzgUO
33,"Scars To Your Beautiful","Alessia Cara",2711051,https://open.spotify.com/track/42ydLwx4i5V49RXHOozJZq
34,Mercy,"Shawn Mendes",2700442,https://open.spotify.com/track/3OalxlWH0v14kyBcNBMINt
35,"Call On Me - Ryan Riback Extended Remix",Starley,2654772,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
