Position,"Track Name",Artist,Streams,URL
1,Starboy,"The Weeknd",25688839,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
2,Closer,"The Chainsmokers",23487213,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
3,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",21176208,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
4,"Let Me Love You","DJ Snake",19830943,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,18262936,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
6,"Don't Wanna Know","Maroon 5",18044509,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
7,"Fake Love",Drake,17013772,https://open.spotify.com/track/6NMNgWgEAzde5M8U3lc6FN
8,"Say You Won't Let Go","James Arthur",16934412,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
9,"24K Magic","Bruno Mars",16709750,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
10,"I Feel It Coming","The Weeknd",16581392,https://open.spotify.com/track/4RepvCWqsP6zBuzvwYibAS
11,"Black Beatles","Rae Sremmurd",16095753,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
12,"One Dance",Drake,15942252,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
13,Chantaje,Shakira,14427371,https://open.spotify.com/track/1WniHvhq9zTkny0WvGXX8o
14,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",14266405,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
15,"Call On Me - Ryan Riback Extended Remix",Starley,14005592,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
16,"In the Name of Love","Martin Garrix",13918059,https://open.spotify.com/track/23L5CiUhw2jV1OIMwthR3S
17,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,12975283,https://open.spotify.com/track/1FvU97lrWOG2NRxErh6OZz
18,"Side To Side","Ariana Grande",12783662,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
19,"Just Hold On","Steve Aoki",12687732,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
20,Starving,"Hailee Steinfeld",11663753,https://open.spotify.com/track/6DG2g1UhROp5pnM8fx7zH2
21,"Bad Things - With Camila Cabello","Machine Gun Kelly",11473775,https://open.spotify.com/track/56cswAa9WdFBsjsTyPBAKA
22,Mercy,"Shawn Mendes",11244448,https://open.spotify.com/track/3OalxlWH0v14kyBcNBMINt
23,"My Way","Calvin Harris",11087007,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
24,"All We Know","The Chainsmokers",10988765,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK
25,"Don't Let Me Down","The Chainsmokers",10648588,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
26,"Treat You Better","Shawn Mendes",10642532,https://open.spotify.com/track/76t5B0ttSAje5KHmQbv88t
27,Heathens,"Twenty One Pilots",10578183,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
28,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",10137131,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
29,"Scars To Your Beautiful","Alessia Cara",9446595,https://open.spotify.com/track/42ydLwx4i5V49RXHOozJZq
30,"All Night","The Vamps",9210144,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW
31,"Cheap Thrills",Sia,9077232,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
32,"Now and Later","Sage The Gemini",8945241,https://open.spotify.com/track/43jBqV3j3Xi1g6wO0bhIMd
33,"Love Me Now","John Legend",8868022,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89
34,"By Your Side","Jonas Blue",8782467,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j
35,"Reggaetón Lento (Bailemos)",CNCO,8720531,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo
36,Alone,"Alan Walker",8650049,https://open.spotify.com/track/3ujORpm8Hf7QWEtfqSAZL8
37,"The Mack",Nevada,8608996,https://open.spotify.com/track/7aV2mflaASUmGhCErm7kBO
38,"I Would Like","Zara Larsson",8581821,https://open.spotify.com/track/0HVj61S4pQJdQhgZP61G65
39,"Shed a Light","Robin Schulz",8493756,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY
40,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",8445793,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl
41,"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth",8294182,https://open.spotify.com/track/06KyNuuMOX1ROXRhj787tj
42,"Hear Me Now",Alok,8188353,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
43,Safari,"J Balvin",7832658,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO
44,"Broccoli (feat. Lil Yachty)",D.R.A.M.,7768160,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol
45,"This Is What You Came For","Calvin Harris",7632198,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
46,"How Far I'll Go - From ""Moana""","Alessia Cara",7485967,https://open.spotify.com/track/5EbX5xL3O2xT8FxCpYzgUO
47,Caroline,Aminé,7414507,https://open.spotify.com/track/5GFDrUTLGJix84sNhjCG0g
48,"Work from Home","Fifth Harmony",7232026,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb
49,"Vente Pa' Ca","Ricky Martin",7062832,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46
50,"Otra Vez (feat. J Balvin)","Zion & Lennox",6777612,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
51,"Party Monster","The Weeknd",6644795,https://open.spotify.com/track/4F7A0DXBrmUAkp32uenhZt
52,Sexual,NEIKED,6564422,https://open.spotify.com/track/3AsAuGTaDQzavZZThyYlop
53,"Perfect Strangers","Jonas Blue",6499379,https://open.spotify.com/track/1CUVN2kn7mW5FjkqXTR2W1
54,"The Greatest",Sia,6445049,https://open.spotify.com/track/7xHWNBFm6ObGEQPaUxHuKO
55,Ride,"Twenty One Pilots",6430018,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
56,"Bounce Back","Big Sean",6350788,https://open.spotify.com/track/206uaQyzb8kOiZ7rHw9wCn
57,"Deja Vu","J. Cole",6303451,https://open.spotify.com/track/6I6NX6tjGsxFAsIfGzY9lJ
58,"Solo Dance","Martin Jensen",6276919,https://open.spotify.com/track/3R6dPfF2yBO8mHySW1XDAa
59,Work,Rihanna,6231393,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v
60,"Too Good",Drake,5945661,https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew
61,Human,"Rag'n'Bone Man",5913497,https://open.spotify.com/track/3erAiWBiKsbVG39cqCrsI0
62,"Love Yourself","Justin Bieber",5887696,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
63,"Stressed Out","Twenty One Pilots",5864552,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
64,Faded,"Alan Walker",5815926,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
65,Sorry,"Justin Bieber",5804342,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
66,Panda,Desiigner,5711947,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h
67,"i hate u, i love u (feat. olivia o'brien)",gnash,5630095,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
68,"Make Me (Cry)","Noah Cyrus",5555816,https://open.spotify.com/track/2BrzlUj1u1CtvaJDGIKpsP
69,"Water Under the Bridge",Adele,5350000,https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y
70,"Cake By The Ocean",DNCE,5323463,https://open.spotify.com/track/2aFiaMXmWsM3Vj72F9ksBl
71,"The Greatest",Sia,5275081,https://open.spotify.com/track/6bLopGnirdrilrpdVB6Um1
72,"Hymn For The Weekend - Seeb Remix",Coldplay,5271338,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU
73,"The Ocean","Mike Perry",5260736,https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv
74,"Lot to Learn","Luke Christopher",5250792,https://open.spotify.com/track/3TRFq09DUgYj1mug6RRqJW
75,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","Lil Wayne",5189946,https://open.spotify.com/track/4dASQiO1Eoo3RJvt74FtXB
76,"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",5187726,https://open.spotify.com/track/6lDo13SSgTv0WbyUQKgnjk
77,"Setting Fires","The Chainsmokers",5134086,https://open.spotify.com/track/0B8B8cVRFIG1yznoQe7c9s
78,Controlla,Drake,5097565,https://open.spotify.com/track/4CpKEkdGbOJV51cSvx7SoG
79,"Deu Onda","MC G15",5062130,https://open.spotify.com/track/0EPxmvsG1BY5td4aTOkWBF
80,"La Bicicleta","Carlos Vives",5025772,https://open.spotify.com/track/43it4kot08akLzFIEMhXNN
81,"Shout Out to My Ex","Little Mix",5005276,https://open.spotify.com/track/0YHUITU3w6ws1v8ehT264g
82,"Into You","Ariana Grande",5000904,https://open.spotify.com/track/7yHEDfrJNd0zWOfXwydNH0
83,"Trust Nobody","Cashmere Cat",4981482,https://open.spotify.com/track/2RlcBZiskvuupu6pG8bsNe
84,Traicionera,"Sebastian Yatra",4874853,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT
85,"Sunset Lover","Petit Biscuit",4863509,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1
86,"X (feat. Future)","21 Savage",4852721,https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO
87,"Chill Bill","Rob $tone",4847299,https://open.spotify.com/track/5uDASfU19gDxSjW8cnCaBp
88,"Needed Me",Rihanna,4773757,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm
89,"7 Years","Lukas Graham",4703465,https://open.spotify.com/track/5kqIPrATaCc2LqxVWzQGbk
