Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",10973756,https://open.spotify.com/track/0FE9t6xYkqWXU2ahLh6D8X
2,"Something Just Like This","The Chainsmokers",8955829,https://open.spotify.com/track/1dNIEtp7AY3oDAKCGg2XkH
3,"iSpy (feat. Lil Yachty)",Kyle,8534874,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
4,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,8157723,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
5,"It Ain't Me (with Selena Gomez)",Kygo,7660897,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
6,"Bounce Back","Big Sean",7050767,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
7,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,6846772,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
8,"That's What I Like","Bruno Mars",6841150,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
9,Slide,"Calvin Harris",6424986,https://open.spotify.com/track/6gpcs5eMhJwax4mIfKDYQk
10,Congratulations,"Post Malone",6413561,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
11,"Tunnel Vision","Kodak Black",6349340,https://open.spotify.com/track/2BoS7pU92MQtynhQ0cZOLT
12,Paris,"The Chainsmokers",6320248,https://open.spotify.com/track/15vzANxN8G9wWfwAJLLMCg
13,Issues,"Julia Michaels",6108053,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
14,"Stay (with Alessia Cara)",Zedd,5645010,https://open.spotify.com/track/6uBhi9gBXWjanegOb2Phh0
15,"Fake Love",Drake,5601656,https://open.spotify.com/track/6NMNgWgEAzde5M8U3lc6FN
16,T-Shirt,Migos,5416937,https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7
17,"Mask Off",Future,5357769,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
18,"I Feel It Coming","The Weeknd",4770732,https://open.spotify.com/track/4RepvCWqsP6zBuzvwYibAS
19,"Body Like A Back Road","Sam Hunt",4608418,https://open.spotify.com/track/7mldq42yDuxiUNn08nvzHO
20,Starboy,"The Weeknd",4576319,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
21,"Chained To The Rhythm","Katy Perry",4461922,https://open.spotify.com/track/5ndfVSDyPq90jaIUhNPeby
22,Swang,"Rae Sremmurd",4319242,https://open.spotify.com/track/6mapJIPnQ23RTAevUoE0DL
23,"Comin Out Strong",Future,4311462,https://open.spotify.com/track/3mRcWCyteY2133a7xVMrYw
24,"Say You Won't Let Go","James Arthur",4277405,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
25,Cold,"Maroon 5",4164098,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
26,Closer,"The Chainsmokers",4157158,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
27,Believer,"Imagine Dragons",4098800,https://open.spotify.com/track/6VRghJeP6I0w1KxkdWFfIh
28,"Bad Things - With Camila Cabello","Machine Gun Kelly",4067896,https://open.spotify.com/track/6H2TKJ9KJfcq6MRmw2cF20
29,"Scared to Be Lonely","Martin Garrix",4062736,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
30,Selfish,Future,3978372,https://open.spotify.com/track/2Ce5IyMlVRVvN997ZJjJJA
