Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",52312786,https://open.spotify.com/track/0FE9t6xYkqWXU2ahLh6D8X
2,"Something Just Like This","The Chainsmokers",33173199,https://open.spotify.com/track/1dNIEtp7AY3oDAKCGg2XkH
3,"It Ain't Me (with Selena Gomez)",Kygo,31981993,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,28063383,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
5,Paris,"The Chainsmokers",26393502,https://open.spotify.com/track/15vzANxN8G9wWfwAJLLMCg
6,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",25829703,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
7,"Scared to Be Lonely","Martin Garrix",22668956,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
8,"Chained To The Rhythm","Katy Perry",21872281,https://open.spotify.com/track/5ndfVSDyPq90jaIUhNPeby
9,Issues,"Julia Michaels",18886951,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
10,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",18651766,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
11,"Castle on the Hill","Ed Sheeran",18437228,https://open.spotify.com/track/66qlqxhEMpSHOzjRK4il0b
12,"I Feel It Coming","The Weeknd",17229968,https://open.spotify.com/track/4RepvCWqsP6zBuzvwYibAS
13,"Say You Won't Let Go","James Arthur",16463954,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
14,"That's What I Like","Bruno Mars",16046858,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
15,Closer,"The Chainsmokers",15987391,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
16,"Call On Me - Ryan Riback Extended Remix",Starley,15649272,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
17,Slide,"Calvin Harris",15587888,https://open.spotify.com/track/6gpcs5eMhJwax4mIfKDYQk
18,Starboy,"The Weeknd",15574864,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
19,Believer,"Imagine Dragons",15275743,https://open.spotify.com/track/6VRghJeP6I0w1KxkdWFfIh
